premise	hypothesis	us_ratings	in_ratings
A group of young children eagerly gather around a table filled with colorful plates of cookies and finger foods, chattering excitedly for a birthday party.	The parents of the child who is celebrating their birthday are present at the party.	['E', 'E', 'E', 'E', 'E']	['N', 'N', 'N', 'N', 'N']
A group of young children eagerly gather around a table filled with colorful plates of cookies and finger foods, chattering excitedly for a birthday party.	The parents of the children are seating at the table.	['N', 'N', 'N', 'N', 'N']	['C', 'N', 'C', 'C', 'C']
A group of young children eagerly gather around a table filled with colorful plates of cookies and finger foods, chattering excitedly for a birthday party.	The parents of the children are enjoying the food with their kids.	['E', 'N', 'N', 'E', 'N']	['C', 'N', 'C', 'N', 'C']
The flag in front of the house fluttered in the wind, symbolizing patriotism and pride.	The house has a flagpole in front of it.	['E', 'E', 'E', 'E', 'E', 'N']	['N', 'E', 'E', 'N', 'E']
The flag in front of the house fluttered in the wind, symbolizing patriotism and pride.	The house has a national flag in front of it.	['E', 'E', 'E', 'C', 'E', 'E']	['E', 'N', 'N', 'E', 'N']
The flag in front of the house fluttered in the wind, symbolizing patriotism and pride.	The house is a historical site.	['C', 'N', 'N', 'C', 'C', 'C']	['C', 'C', 'N', 'N', 'N']
Two strangers walking on the street make brief eye contact and exchange a shy smile before continuing on their separate ways.	The person initiating the eye contact recognized the other person from somewhere.	['C', 'N', 'N', 'C', 'E', 'C', 'E']	['E', 'N', 'N', 'C', 'E']
Two strangers walking on the street make brief eye contact and exchange a shy smile before continuing on their separate ways.	The person initiating the eye contact was feeling particularly happy at that moment.	['C', 'N', 'C', 'N', 'N', 'N', 'N']	['N', 'N', 'N', 'E', 'E']
Two strangers walking on the street make brief eye contact and exchange a shy smile before continuing on their separate ways.	The person initiating the eye contact was trying to signal to the other person to be cautious of their surroundings.	['C', 'C', 'C', 'N', 'C', 'C', 'N']	['C', 'C', 'C', 'C', 'C']
What's a more appropriate way to greet a guest than by calling them "Her Majesty"?	The speaker is interested in starting a conversation about etiquette of addressing people.	['N', 'N', 'N', 'N', 'E', 'E']	['N', 'N', 'E', 'E', 'C']
What's a more appropriate way to greet a guest than by calling them "Her Majesty"?	The speaker believes that calling a guest "Her Majesty" is the appropriate way to greet a guest.	['N', 'C', 'E', 'E', 'E', 'N']	['E', 'E', 'C', 'N', 'E']
What's a more appropriate way to greet a guest than by calling them "Her Majesty"?	The speaker suggests that there are more suitable ways to address a guest.	['E', 'E', 'N', 'N', 'N', 'E']	['C', 'C', 'E', 'E', 'C']
During the ceremony, the groom carefully placed a silver ring on the bride.	The groom is carefully placing a ring on her toe.	['C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
During the ceremony, the groom carefully placed a silver ring on the bride.	The groom symbolizes his love and commitment to the bride by placing a ring on her finger.	['E', 'N', 'E', 'N']	['E', 'E', 'E', 'E', 'E']
During the ceremony, the groom carefully placed a silver ring on the bride.	The groom embarrasses the bride by giving her a silver ring.	['N', 'E', 'C', 'N']	['C', 'N', 'C', 'N', 'E']
A customer asks the cashier if there are any discounts or promotions available for the items they are purchasing.	The cashier checks their system to see if there are any discounts or promotions available.	['N', 'N', 'E']	['E', 'E', 'E', 'C', 'E']
A customer asks the cashier if there are any discounts or promotions available for the items they are purchasing.	The cashier seeks guidance from a supervisor.	['N', 'N', 'E']	['E', 'N', 'N', 'C', 'N']
A customer asks the cashier if there are any discounts or promotions available for the items they are purchasing.	The cashier tells the customer to check for sales in the future.	['N', 'N', 'C']	['E', 'N', 'N', 'C', 'C']
His coworker asked, "Would you like to join me for lunch today?" He wobbled his head and added "What time are you thinking?".	The person wanted to determine the time of the lunch invitation before giving a definite answer.	['E', 'N', 'E', 'E', 'E', 'E']	['N', 'E', 'E', 'C', 'N']
His coworker asked, "Would you like to join me for lunch today?" He wobbled his head and added "What time are you thinking?".	The person agreed to join their coworker for lunch.	['N', 'E', 'N', 'N', 'N', 'N']	['E', 'C', 'N', 'E', 'E']
His coworker asked, "Would you like to join me for lunch today?" He wobbled his head and added "What time are you thinking?".	The person did not want to join their coworker for lunch.	['N', 'C', 'C', 'C', 'N', 'N']	['C', 'C', 'C', 'C', 'C']
He came back to the hotel room and noticed the neatly-made bed, the missing crumpled bills on the dresser, the golden lettering book still resting atop the nightstand, and the luggages untouched.	The housekeeping had cleaned the room before he came back.	['E', 'N', 'E', 'N']	['E', 'E', 'E', 'E', 'E']
He came back to the hotel room and noticed the neatly-made bed, the missing crumpled bills on the dresser, the golden lettering book still resting atop the nightstand, and the luggages untouched.	He did not expect the housekeeping to clean the room.	['N', 'E', 'C', 'N']	['C', 'N', 'E', 'N', 'C']
He came back to the hotel room and noticed the neatly-made bed, the missing crumpled bills on the dresser, the golden lettering book still resting atop the nightstand, and the luggages untouched.	He brought a book with him while traveling.	['E', 'N', 'E', 'N']	['N', 'C', 'E', 'N', 'N']
The family gathered around the TV, watching intently as a home renovation show plays on the screen, discussing design ideas.	The family is considering renovating their home by themselves.	['N', 'E', 'N', 'E']	['N', 'N', 'N', 'E', 'N']
The family gathered around the TV, watching intently as a home renovation show plays on the screen, discussing design ideas.	The family is discussing design ideas related to home renovation.	['E', 'E', 'E', 'E']	['E', 'E', 'C', 'E', 'N']
The family gathered around the TV, watching intently as a home renovation show plays on the screen, discussing design ideas.	The family works as home remodeling contractors.	['N', 'N', 'N', 'N']	['N', 'N', 'C', 'N', 'N']
The bride-to-be frantically searches online for appropriate items to add to the list for her friends and families.	She feels stress to create the perfect list.	['E', 'E', 'E', 'N']	['N', 'E', 'C', 'E', 'N']
The bride-to-be frantically searches online for appropriate items to add to the list for her friends and families.	She wants to ensure that her friends and family have a variety of options to choose from.	['N', 'E', 'E', 'N']	['C', 'C', 'N', 'E', 'C']
The bride-to-be frantically searches online for appropriate items to add to the list for her friends and families.	She wants to select the most appropriate gifts to give her friends and families.	['N', 'E', 'C', 'N']	['E', 'E', 'E', 'N', 'E']
As the waiter thanked the customer for coming, the customer nodded and replied with "ahuh".	The customer was uninterested in continuing the conversation.	['N', 'N', 'E', 'E']	['C', 'E', 'E', 'N', 'N']
As the waiter thanked the customer for coming, the customer nodded and replied with "ahuh".	The customer acknowledged the waiter's thanks.	['E', 'E', 'E', 'N']	['E', 'N', 'C', 'E', 'E']
As the waiter thanked the customer for coming, the customer nodded and replied with "ahuh".	The customer was upset with the waiter.	['N', 'N', 'N', 'N']	['C', 'N', 'E', 'C', 'C']
Holding the door for someone is not seen as praiseworthy and the failure to observe these sorts of minor graces is seen as a moral failing.	People are supposed to hold the door for others.	['N', 'E', 'E', 'E', 'N', 'E']	['E', 'C', 'C', 'C', 'N']
Holding the door for someone is not seen as praiseworthy and the failure to observe these sorts of minor graces is seen as a moral failing.	People do not value holding the door for others.	['E', 'N', 'C', 'C', 'N', 'E']	['N', 'E', 'C', 'E', 'C']
Holding the door for someone is not seen as praiseworthy and the failure to observe these sorts of minor graces is seen as a moral failing.	People fail to appreciate the graces of others holding door for them.	['E', 'E', 'C', 'N', 'N', 'N']	['N', 'N', 'C', 'E', 'C']
In a business meeting, the CEO greeted each attendee by their first name.	The CEO wants to create a friendly atmosphere in the business meeting.	['N', 'N', 'N', 'E', 'E', 'E', 'E']	['N', 'N', 'E', 'E', 'N']
In a business meeting, the CEO greeted each attendee by their first name.	The CEO uses the first name to show a sign of respect to attendees.	['N', 'N', 'E', 'E', 'E', 'E', 'E']	['C', 'N', 'E', 'N', 'N']
In a business meeting, the CEO greeted each attendee by their first name.	The CEO values personal relationships with their employees.	['N', 'E', 'N', 'E', 'N', 'E', 'E']	['E', 'N', 'N', 'N', 'N']
As she came out of the airport, the person waiting for her greeted her with three kisses.	The person waiting for her was meeting her for the first time.	['C', 'N', 'N', 'C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'N', 'C', 'C', 'C']
As she came out of the airport, the person waiting for her greeted her with three kisses.	The person waiting for her greeted her with a kiss.	['E', 'N', 'C', 'E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'N', 'E', 'N']
As she came out of the airport, the person waiting for her greeted her with three kisses.	The person who greeted her was someone who was familiar with her.	['N', 'E', 'E', 'E', 'E', 'E', 'E', 'E']	['N', 'E', 'E', 'E', 'E', 'E', 'E']
The diner dipped the bread into the remaining sauce on the plate, mopping up every last drop.	The diner was enjoying the sauce.	['E', 'E', 'N', 'E', 'E', 'E', 'E', 'N']	['N', 'E', 'E', 'E', 'E', 'E', 'E']
The diner dipped the bread into the remaining sauce on the plate, mopping up every last drop.	The diner didn't care about having leftover on the plate.	['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C', 'C', 'C']
The diner dipped the bread into the remaining sauce on the plate, mopping up every last drop.	The diner enjoyed the meal.	['N', 'C', 'E', 'N', 'E', 'N', 'N', 'N']	['N', 'N', 'C', 'N', 'N', 'C', 'N']
The person broke the slience in the meeting room by asking people about the weather.	The person was trying to create some conversation.	['E', 'E', 'N', 'N', 'E', 'E', 'E']	['N', 'E', 'E', 'E', 'N', 'E', 'N']
The person broke the slience in the meeting room by asking people about the weather.	The person was trying to connect with others by discussing a common topic.	['E', 'N', 'E', 'N', 'E', 'E', 'E']	['N', 'E', 'E', 'N', 'E', 'E', 'N']
The person broke the slience in the meeting room by asking people about the weather.	The person was not actively engaged in their work before they started speaking.	['E', 'N', 'N', 'N', 'N', 'N', 'E']	['N', 'C', 'N', 'C', 'C', 'C', 'C']
Students are seen walking around the campus wearing various clothing styles, from casual to trendy outfits.	Students have the ability to choose what they wear.	['E', 'N', 'N', 'N', 'E', 'E', 'E', 'N']	['E', 'N', 'E', 'E', 'E', 'E', 'E']
Students are seen walking around the campus wearing various clothing styles, from casual to trendy outfits.	Students are celebrating some speical events.	['C', 'N', 'E', 'C', 'C', 'E', 'C', 'N']	['N', 'E', 'N', 'N', 'C', 'N', 'N']
Students are seen walking around the campus wearing various clothing styles, from casual to trendy outfits.	Students are not allowed to wear trendy clothing on campus.	['C', 'C', 'N', 'C', 'C', 'N', 'C', 'C']	['C', 'C', 'C', 'C', 'C', 'C', 'C']
A group of friends huddle around a small laptop screen, cheering and high-fiving as their favorite team hits the ball clear over the boundary on the fly.	The friends are celebrating the achievement of their favorite team.	['E', 'E', 'E', 'E']	['E', 'E', 'E', 'E']
A group of friends huddle around a small laptop screen, cheering and high-fiving as their favorite team hits the ball clear over the boundary on the fly.	The friends are baseball fans.	['N', 'N', 'N', 'E']	['N', 'N', 'N', 'E']
A group of friends huddle around a small laptop screen, cheering and high-fiving as their favorite team hits the ball clear over the boundary on the fly.	The friends are watching a movie on the small laptop screen.	['C', 'C', 'C', 'C']	['C', 'C', 'C', 'C']
A group of friends hide amongst the tall cornstalks, trying to remain quiet as they wait for the seeker to find them.	The group is playing a game with the seeker.	['E', 'E', 'E', 'E', 'E', 'E', 'E']	['E', 'N', 'E', 'E', 'E']
A group of friends hide amongst the tall cornstalks, trying to remain quiet as they wait for the seeker to find them.	The group is looking for corns in a cornfield.	['C', 'C', 'N', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
A group of friends hide amongst the tall cornstalks, trying to remain quiet as they wait for the seeker to find them.	The group has been seen by the seeker before.	['N', 'N', 'C', 'E', 'N', 'N', 'C']	['C', 'C', 'C', 'N', 'C']
The sun is shining brightly as people splash in the refreshing water of the park's swimming pool.	People are enjoying themselves in the park's swimming pool.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E']
The sun is shining brightly as people splash in the refreshing water of the park's swimming pool.	The bright sun have added to the enjoyment factor.	['N', 'N', 'N', 'E', 'N']	['N', 'E', 'N', 'N']
The sun is shining brightly as people splash in the refreshing water of the park's swimming pool.	The refreshing water have added to the enjoyment factor.	['N', 'N', 'N', 'E', 'E']	['N', 'E', 'E', 'E']
As soon as the teacher realized the kindergartners were chewing on gum and blowing bubbles, they walked to the kids.	The teacher was taking action to reinforce the classroom rules.	['N', 'E', 'N', 'E', 'E']	['E', 'N', 'N', 'N', 'E']
As soon as the teacher realized the kindergartners were chewing on gum and blowing bubbles, they walked to the kids.	The teacher was concerned about the safety of kindergartners.	['N', 'N', 'N', 'C', 'N']	['N', 'E', 'N', 'N', 'N']
As soon as the teacher realized the kindergartners were chewing on gum and blowing bubbles, they walked to the kids.	The teach was teaching kindergartners how to chew on gum.	['C', 'C', 'C', 'N', 'C']	['C', 'C', 'C', 'C', 'C']
The person in the kitchen absent-mindedly wiped down the counters with a rag.	The person was doing kitchen cleaning for the first time.	['C', 'N', 'C', 'C', 'C', 'N', 'C']	['N', 'N', 'N', 'C', 'C']
The person in the kitchen absent-mindedly wiped down the counters with a rag.	The person enjoyed cleaning the counter.	['C', 'N', 'N', 'C', 'N', 'N', 'C']	['C', 'E', 'C', 'C', 'N']
The person in the kitchen absent-mindedly wiped down the counters with a rag.	The person cared about keeping the counters clean.	['N', 'N', 'E', 'N', 'E', 'N', 'N']	['C', 'E', 'C', 'N', 'E']
The cool grass tickles his toes as he sets up the shot, feeling the connection between his body and the earth beneath him as he swings.	The person has a golf club.	['E', 'E', 'E', 'C', 'N']	['E', 'N', 'E', 'N']
The cool grass tickles his toes as he sets up the shot, feeling the connection between his body and the earth beneath him as he swings.	The person is barefoot.	['N', 'C', 'E', 'N', 'E']	['E', 'E', 'E', 'E']
The cool grass tickles his toes as he sets up the shot, feeling the connection between his body and the earth beneath him as he swings.	The person is doing yoga outdoor.	['C', 'C', 'C', 'N', 'N']	['C', 'C', 'C', 'N']
Two friends sit on a couch in their apartment, controllers in hand, as they play a game on a large TV screen.	They are feeling a sense of shared enjoyment.	['C', 'N', 'N', 'E', 'E', 'N', 'N']	['E', 'E', 'E', 'E', 'E', 'C']
Two friends sit on a couch in their apartment, controllers in hand, as they play a game on a large TV screen.	They are watching a movie on TV.	['C', 'C', 'C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C', 'C']
Two friends sit on a couch in their apartment, controllers in hand, as they play a game on a large TV screen.	They are having a party.	['E', 'C', 'N', 'C', 'N', 'C', 'C']	['C', 'C', 'C', 'C', 'C', 'E']
Construction workers are clearing trees and leveling the ground, while surveyors measure and mark the route through the forest.	The workers are near an urban area.	['C', 'C', 'C', 'C', 'C', 'N', 'C']	['C', 'C', 'C', 'N', 'C', 'C']
Construction workers are clearing trees and leveling the ground, while surveyors measure and mark the route through the forest.	The workers are building a hiking trial.	['N', 'N', 'N', 'N', 'N', 'N', 'N']	['N', 'N', 'E', 'C', 'N', 'E']
Construction workers are clearing trees and leveling the ground, while surveyors measure and mark the route through the forest.	The workers are communicating with each other.	['N', 'N', 'E', 'N', 'N', 'N', 'E']	['N', 'N', 'E', 'E', 'E', 'C']
A group of mourners gather around a gravestone, some holding flowers while others snapping photos to capture memories.	The group is paying their respects to the deceased person.	['E', 'C', 'N', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'N', 'E', 'E']
A group of mourners gather around a gravestone, some holding flowers while others snapping photos to capture memories.	The group is celebrating the deceased person's life.	['E', 'N', 'N', 'E', 'N', 'E', 'N']	['C', 'C', 'N', 'N', 'N', 'C']
A group of mourners gather around a gravestone, some holding flowers while others snapping photos to capture memories.	They are feeling a range of emotions such as sadness, nostalgia, and happiness.	['N', 'E', 'E', 'N', 'E', 'N', 'E']	['E', 'N', 'N', 'C', 'N', 'N']
A person takes out a disinfectant wipe and carefully wipes down the buttons, handrails, and walls inside the elevator.	The person is taking elevator to go to a different floor.	['N', 'C', 'N', 'C', 'N']	['E', 'C', 'N', 'C']
A person takes out a disinfectant wipe and carefully wipes down the buttons, handrails, and walls inside the elevator.	The person wipes down the elevator after they left the elevator.	['N', 'E', 'C', 'C', 'C']	['C', 'N', 'C', 'N']
A person takes out a disinfectant wipe and carefully wipes down the buttons, handrails, and walls inside the elevator.	They person is taking a break from their work.	['N', 'C', 'C', 'N', 'C']	['C', 'C', 'C', 'C']
A person at the gym was lifting weights with beads of sweat going down their necklace.	The person was standing still at the gym.	['N', 'C', 'N', 'C', 'E', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
A person at the gym was lifting weights with beads of sweat going down their necklace.	The person at the gym valued their necklace.	['N', 'N', 'C', 'E', 'N', 'N', 'N']	['N', 'C', 'C', 'N', 'C']
A person at the gym was lifting weights with beads of sweat going down their necklace.	The person at the gym was experiencing an elevated heart rate.	['E', 'E', 'N', 'E', 'N', 'E', 'E']	['E', 'E', 'N', 'E', 'N']
As he walked into the silent auditorium with his pizza boxes , the eyes of the audience members turned towards him.	Some audience were surprised by someone bringing pizza into an auditorium.	['E', 'N', 'E', 'N', 'E', 'E', 'E', 'E']	['N', 'E', 'E', 'E', 'N', 'E', 'N']
As he walked into the silent auditorium with his pizza boxes , the eyes of the audience members turned towards him.	The audience was discussing about pizza before he walked in.	['C', 'N', 'C', 'N', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C', 'C', 'C']
As he walked into the silent auditorium with his pizza boxes , the eyes of the audience members turned towards him.	Some of audience were interested in the pizza.	['N', 'N', 'N', 'E', 'N', 'E', 'E', 'N']	['N', 'N', 'N', 'E', 'E', 'E', 'E']
He is standing next to his car, surrounded by tools and parts, as he works to fix the broken washing machine.	He is currently at work in a repair shop.	['N', 'N', 'C', 'C', 'C']	['C', 'C', 'N', 'C', 'C']
He is standing next to his car, surrounded by tools and parts, as he works to fix the broken washing machine.	He is currently at home in a garage.	['N', 'N', 'E', 'N', 'E']	['E', 'E', 'E', 'N', 'N']
He is standing next to his car, surrounded by tools and parts, as he works to fix the broken washing machine.	He used his car to carry the broken washing machine here.	['N', 'C', 'C', 'N', 'N']	['N', 'C', 'N', 'N', 'C']
The bright lights beam down as the sound of applause echoes across the auditorium, as the performer takes confident steps across the stage.	The performer is confident and comfortable on stage.	['E', 'N', 'E', 'E']	['E', 'E', 'E', 'N', 'E']
The bright lights beam down as the sound of applause echoes across the auditorium, as the performer takes confident steps across the stage.	There is an audience present in the auditorium.	['E', 'N', 'E', 'E']	['E', 'E', 'E', 'E', 'N']
The bright lights beam down as the sound of applause echoes across the auditorium, as the performer takes confident steps across the stage.	The performance is being well received by the audience.	['E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
A group of kids are running around the pool, splashing water and giggling while their parents watch from the side.	The parents were concerned about safety of the kids.	['E', 'N', 'N', 'N', 'N', 'E', 'E']	['C', 'E', 'N', 'N', 'N']
A group of kids are running around the pool, splashing water and giggling while their parents watch from the side.	The parents are not paying attention to the kids.	['C', 'N', 'C', 'C', 'N', 'C', 'N']	['C', 'C', 'C', 'C', 'C']
A group of kids are running around the pool, splashing water and giggling while their parents watch from the side.	The kids are not following strict pool rules.	['N', 'E', 'E', 'E', 'N', 'E', 'N']	['E', 'C', 'N', 'C', 'C']
A group of children are giggling and playing with the stuffed animals and toys on display at the gift shop while their parents browse the souvenirs.	The children are interested in some souvenirs.	['N', 'C', 'C', 'C', 'N', 'C']	['C', 'C', 'N', 'C', 'C']
A group of children are giggling and playing with the stuffed animals and toys on display at the gift shop while their parents browse the souvenirs.	The children are causing a disturbance and the parents are not doing anything about it.	['N', 'N', 'N', 'N', 'N', 'N']	['C', 'C', 'N', 'E', 'C']
A group of children are giggling and playing with the stuffed animals and toys on display at the gift shop while their parents browse the souvenirs.	The children are enjoying themselves and find the stuffed animals and toys entertaining.	['E', 'E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
Instead of ordering a starter and a main dish, they got many smaller plates that end up in the middle of the table.	They intended to share their food with others.	['E', 'C', 'N', 'N', 'N']	['N', 'N', 'N', 'E', 'C']
Instead of ordering a starter and a main dish, they got many smaller plates that end up in the middle of the table.	They wanted to try a variety of different dishes.	['E', 'N', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'N']
Instead of ordering a starter and a main dish, they got many smaller plates that end up in the middle of the table.	They lowered the cost by ordering smaller plates.	['N', 'E', 'E', 'C', 'N']	['N', 'N', 'N', 'N', 'N']
His coworker asked "How was your vacation?" He replied, "It was good."	He did not enjoy some parts of his vacation.	['N', 'N', 'C', 'C', 'C', 'C', 'N']	['C', 'C', 'C', 'C', 'C']
His coworker asked "How was your vacation?" He replied, "It was good."	He had an enjoyable vacation.	['E', 'N', 'E', 'E', 'E', 'E', 'N']	['E', 'N', 'E', 'E', 'E']
His coworker asked "How was your vacation?" He replied, "It was good."	He had a vacation.	['E', 'E', 'E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'N']
I still obliged to my mother's request and went close to touch his feet. He was wearing a rubber slipper and his toe nails were long enough to come out of that slipper area.	The speaker was serving customers at a nail shop.	['E', 'N', 'E', 'N', 'N', 'N']	['N', 'C', 'C', 'C', 'C']
I still obliged to my mother's request and went close to touch his feet. He was wearing a rubber slipper and his toe nails were long enough to come out of that slipper area.	The speaker was greeting their grandparents.	['C', 'E', 'N', 'N', 'N', 'C']	['N', 'N', 'N', 'E', 'E']
I still obliged to my mother's request and went close to touch his feet. He was wearing a rubber slipper and his toe nails were long enough to come out of that slipper area.	The speaker ignored the person's feet.	['C', 'C', 'C', 'C', 'N', 'C']	['C', 'C', 'C', 'C', 'C']
They said that the work would be done tomorrow when there was really no possibility of its being completed before the following week.	They provided a time estimation out of politeness.	['E', 'E', 'N', 'N', 'N', 'E']	['N', 'N', 'N', 'N', 'E']
They said that the work would be done tomorrow when there was really no possibility of its being completed before the following week.	They wanted to avoid giving people false hope that the work would be completed sooner than expected.	['C', 'C', 'E', 'C', 'N', 'C']	['C', 'C', 'E', 'E', 'E']
They said that the work would be done tomorrow when there was really no possibility of its being completed before the following week.	They did not know how much time the work would take.	['E', 'N', 'C', 'N', 'N', 'N']	['N', 'N', 'C', 'C', 'C']
For them, a project due at the end of the week means the same as a project due at next month.	They have a project that is due at the end of the week.	['N', 'N', 'N', 'C', 'N']	['N', 'N', 'N', 'E', 'N']
For them, a project due at the end of the week means the same as a project due at next month.	They do not care about the project deadline.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'N', 'C']
For them, a project due at the end of the week means the same as a project due at next month.	They are confident in their understanding of the deadline.	['N', 'N', 'C', 'C', 'E']	['N', 'C', 'N', 'C', 'C']
The party was in full swing when we arrived an hour later than advertised, as the music was loud.	The party started later than originally planned.	['C', 'C', 'N', 'N', 'E', 'C']	['C', 'C', 'C', 'C', 'C']
The party was in full swing when we arrived an hour later than advertised, as the music was loud.	The party has all guests dressed in formal attire.	['C', 'C', 'C', 'N', 'N', 'N']	['N', 'N', 'C', 'C', 'C']
The party was in full swing when we arrived an hour later than advertised, as the music was loud.	The party was almost over as the speaker arrived.	['N', 'C', 'N', 'C', 'N', 'N']	['N', 'C', 'C', 'C', 'N']
Huddled together under umbrellas, they walk through the rain and chat about their plans for the day.	They are discussing their plans to go on a hike in the mountains.	['C', 'C', 'C', 'N', 'N']	['N', 'N', 'N', 'N', 'C']
Huddled together under umbrellas, they walk through the rain and chat about their plans for the day.	They feel a bit damp and uncomfortable due to the rain.	['N', 'E', 'E', 'N', 'C']	['C', 'N', 'N', 'C', 'N']
Huddled together under umbrellas, they walk through the rain and chat about their plans for the day.	They are happy sharing umbrellas with each other.	['N', 'N', 'N', 'N', 'N']	['N', 'E', 'N', 'E', 'E']
After the professor concluded his lecture, the audience nodded, finally understanding the complexity of the topic.	The audience did not understand the topic before the professor concluded his lecture.	['N', 'E', 'C', 'N', 'N']	['N', 'E', 'N', 'N', 'C']
After the professor concluded his lecture, the audience nodded, finally understanding the complexity of the topic.	The audience nodded to acknowledge the topic of the lecture was complex.	['E', 'N', 'E', 'N', 'C']	['N', 'N', 'E', 'N', 'N']
After the professor concluded his lecture, the audience nodded, finally understanding the complexity of the topic.	The audience expressed their appreciation for a great lecture.	['E', 'N', 'N', 'E', 'N']	['N', 'E', 'N', 'N', 'E']
The teacher was explaining a complex math problem and suddenly the student who is known for being lost in the class nodded.	The student was nodding in agreement with the teacher's explanation but did not actually understand the problem.	['N', 'N', 'N', 'E', 'E', 'N', 'N']	['N', 'C', 'N', 'N', 'E']
The teacher was explaining a complex math problem and suddenly the student who is known for being lost in the class nodded.	The student was nodding in response to a notification on their phone.	['C', 'C', 'C', 'C', 'C', 'C', 'N']	['C', 'C', 'C', 'C', 'C']
The teacher was explaining a complex math problem and suddenly the student who is known for being lost in the class nodded.	The student had an aha moment and finally understood the math problem.	['N', 'N', 'N', 'N', 'E', 'E', 'N']	['N', 'E', 'N', 'N', 'C']
The maintenance person bent down to unlace and remove their shoes before stepping inside the apartment.	The maintenance person was concerned with maintaining the cleanliness of the indoor environment.	['E', 'E', 'E', 'E', 'N']	['E', 'N', 'N', 'E', 'E']
The maintenance person bent down to unlace and remove their shoes before stepping inside the apartment.	The maintenance person walked in the apartment barefoot.	['N', 'E', 'N', 'C', 'N']	['E', 'N', 'E', 'E', 'E']
The maintenance person bent down to unlace and remove their shoes before stepping inside the apartment.	The maintenance person was being respectful to the apartment occupants.	['E', 'N', 'E', 'E', 'N']	['E', 'N', 'E', 'N', 'C']
As the guests stepped into the home, the host pointed to the right of the door saying "feel free to leave them there".	The host wants the guests to feel at ease and comfortable in their home.	['E', 'E', 'N', 'C']	['E', 'N', 'N', 'E', 'E']
As the guests stepped into the home, the host pointed to the right of the door saying "feel free to leave them there".	The host is expecting the guests to bring some gifts with them.	['N', 'N', 'N', 'N']	['C', 'N', 'C', 'N', 'C']
As the guests stepped into the home, the host pointed to the right of the door saying "feel free to leave them there".	The host has a designated area for coats.	['N', 'N', 'E', 'C']	['E', 'E', 'N', 'C', 'E']
As the politician stepped off the podium, she lifted up a V sign with her fingers, leaving the audience in awe.	The audience resonated with the confidence of victory from the politician.	['N', 'E', 'N', 'E', 'C']	['N', 'N', 'N', 'E', 'E']
As the politician stepped off the podium, she lifted up a V sign with her fingers, leaving the audience in awe.	The audience was moved by a particularly inspiring speech from the politician.	['N', 'E', 'N', 'C', 'N']	['E', 'N', 'E', 'C', 'C']
As the politician stepped off the podium, she lifted up a V sign with her fingers, leaving the audience in awe.	The audience was shocked by the politician's gesture of lifting up a V sign.	['C', 'N', 'E', 'N', 'E']	['C', 'C', 'E', 'C', 'E']
A group of friends take a photo with big smiles on their faces and make the V sign with their fingers.	The group are excited to capture a moment together.	['E', 'N', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
A group of friends take a photo with big smiles on their faces and make the V sign with their fingers.	The group of friends are celebrating victory over a recent game.	['N', 'E', 'N', 'N']	['N', 'N', 'E', 'E', 'N']
A group of friends take a photo with big smiles on their faces and make the V sign with their fingers.	The group of friends are showing their nonconformity.	['N', 'C', 'C', 'N']	['C', 'C', 'C', 'C', 'C']
The tourists handed the tour guide an envelope, thanking them for an amazing experience.	The envelope contained a complaint letter about the tour.	['C', 'C', 'C', 'N', 'C', 'N']	['C', 'N', 'C', 'C', 'C']
The tourists handed the tour guide an envelope, thanking them for an amazing experience.	The envelope contained a thank-you note from the tourists.	['E', 'E', 'N', 'E', 'E', 'N']	['E', 'N', 'E', 'N', 'N']
The tourists handed the tour guide an envelope, thanking them for an amazing experience.	The envelope contained a large tip for the tour guide.	['N', 'N', 'N', 'E', 'N', 'N']	['E', 'E', 'N', 'E', 'N']
The family sits around the table, each taking out their wallets, while the waiter patiently waits for them to decide.	Each family member is paying for their portion of the meal.	['N', 'N', 'N', 'N', 'E']	['N', 'N', 'E', 'N', 'C']
The family sits around the table, each taking out their wallets, while the waiter patiently waits for them to decide.	The family has just looked at the menu and is ordering.	['N', 'C', 'N', 'C', 'N']	['C', 'C', 'N', 'C', 'C']
The family sits around the table, each taking out their wallets, while the waiter patiently waits for them to decide.	The family has multiple members competing for paying the bill.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
